gen_tech,gen_load_zone,gen_energy_source,period,Energy_GWh_typical_yr,VariableCost_per_yr,DispatchEmissions_tCO2_per_typical_yr
AES,Oahu,multiple,2020,306.954296082,613908.592164,312355.908273
AES,Oahu,multiple,2025,433.891822029,867783.644058,440751.027982
AES,Oahu,multiple,2030,353.954370952,707908.741905,359558.113508
AES,Oahu,multiple,2035,75.1979492088,150395.898418,137397.037801
AES,Oahu,multiple,2040,31.4205184966,62841.0369932,57446.1550707
AES,Oahu,multiple,2045,0.0,0.0,0.0
Airport_DSG,Oahu,multiple,2020,5.13855143674,192490.13682,4930.46887944
Airport_DSG,Oahu,multiple,2025,0.994041151569,37236.7815378,953.788051561
Airport_DSG,Oahu,multiple,2030,3.3107983516,124022.506251,2875.20350904
Airport_DSG,Oahu,multiple,2035,11.0146172763,412607.563169,7090.98651752
Airport_DSG,Oahu,multiple,2040,1.68345678895,63062.291314,1615.28621635
Airport_DSG,Oahu,multiple,2045,0.0,0.0,0.0
Battery_Bulk,Oahu,Battery,2020,0.0,0.0,0.0
Battery_Bulk,Oahu,Battery,2025,0.0,0.0,0.0
Battery_Bulk,Oahu,Battery,2030,0.0,0.0,0.0
Battery_Bulk,Oahu,Battery,2035,202.016353516,346807.469404,0.0
Battery_Bulk,Oahu,Battery,2040,707.682245436,1214899.11292,0.0
Battery_Bulk,Oahu,Battery,2045,304.612563804,522937.428398,0.0
Battery_Conting,Oahu,Battery,2020,0.0,0.0,0.0
Battery_Conting,Oahu,Battery,2025,0.0,0.0,0.0
Battery_Conting,Oahu,Battery,2030,0.0,0.0,0.0
Battery_Conting,Oahu,Battery,2035,0.0,0.0,0.0
Battery_Conting,Oahu,Battery,2040,0.0,0.0,0.0
Battery_Conting,Oahu,Battery,2045,0.0,0.0,0.0
Battery_Reg,Oahu,Battery,2020,0.0,0.0,0.0
Battery_Reg,Oahu,Battery,2025,0.0,0.0,0.0
Battery_Reg,Oahu,Battery,2030,0.0,0.0,0.0
Battery_Reg,Oahu,Battery,2035,0.0,0.0,0.0
Battery_Reg,Oahu,Battery,2040,0.0,0.0,0.0
Battery_Reg,Oahu,Battery,2045,0.0,0.0,0.0
CC_152,Oahu,multiple,2020,0.0,0.0,0.0
CC_152,Oahu,multiple,2025,1314.20731466,5900790.8428,496719.518218
CC_152,Oahu,multiple,2030,1112.23930392,4993954.47459,422778.951436
CC_152,Oahu,multiple,2035,1280.32830959,5748674.11004,483913.239949
CC_152,Oahu,multiple,2040,859.672458701,3859929.33957,325269.84495
CC_152,Oahu,multiple,2045,144.256430336,647711.372207,0.0
CIP_CT,Oahu,multiple,2020,11.0025925849,448465.673761,10088.6255565
CIP_CT,Oahu,multiple,2025,34.315462939,1398698.26939,30476.5992397
CIP_CT,Oahu,multiple,2030,57.4930555154,2343416.94281,50546.215657
CIP_CT,Oahu,multiple,2035,75.3251998576,3070255.1462,59892.1044907
CIP_CT,Oahu,multiple,2040,10.1458333263,413544.166378,9202.5271783
CIP_CT,Oahu,multiple,2045,0.0,0.0,0.0
CentralTrackingPV,Oahu,SUN,2020,823.187131083,0.0,0.0
CentralTrackingPV,Oahu,SUN,2025,924.670739255,0.0,0.0
CentralTrackingPV,Oahu,SUN,2030,1873.77730953,0.0,0.0
CentralTrackingPV,Oahu,SUN,2035,2186.48492049,0.0,0.0
CentralTrackingPV,Oahu,SUN,2040,4403.04578341,0.0,0.0
CentralTrackingPV,Oahu,SUN,2045,4506.90388897,0.0,0.0
FlatDistPV,Oahu,SUN,2020,338.658489347,0.0,0.0
FlatDistPV,Oahu,SUN,2025,338.658489347,0.0,0.0
FlatDistPV,Oahu,SUN,2030,337.016853849,0.0,0.0
FlatDistPV,Oahu,SUN,2035,338.658489347,0.0,0.0
FlatDistPV,Oahu,SUN,2040,321.841465864,0.0,0.0
FlatDistPV,Oahu,SUN,2045,337.037969016,0.0,0.0
H-Power,Oahu,MSW,2020,375.184799738,6753326.39529,0.0
H-Power,Oahu,MSW,2025,375.184799738,6753326.39529,0.0
H-Power,Oahu,MSW,2030,375.184799738,6753326.39529,0.0
H-Power,Oahu,MSW,2035,375.184799738,6753326.39529,0.0
H-Power,Oahu,MSW,2040,375.184799738,6753326.39529,0.0
H-Power,Oahu,MSW,2045,375.184799738,6753326.39529,0.0
Honolulu_8,Oahu,multiple,2020,60.2466997069,19278.9439062,41797.2075991
Honolulu_9,Oahu,multiple,2020,39.5851018889,12667.2326044,29441.8389394
IC_Barge,Oahu,multiple,2020,0.0,0.0,0.0
IC_Barge,Oahu,multiple,2025,0.0,0.0,0.0
IC_Barge,Oahu,multiple,2030,0.0,0.0,0.0
IC_Barge,Oahu,multiple,2035,0.0,0.0,0.0
IC_Barge,Oahu,multiple,2040,0.0,0.0,0.0
IC_Barge,Oahu,multiple,2045,0.0,0.0,0.0
IC_MCBH,Oahu,multiple,2020,0.0,0.0,0.0
IC_MCBH,Oahu,multiple,2025,0.0,0.0,0.0
IC_MCBH,Oahu,multiple,2030,0.0,0.0,0.0
IC_MCBH,Oahu,multiple,2035,0.0,0.0,0.0
IC_MCBH,Oahu,multiple,2040,0.0,0.0,0.0
IC_MCBH,Oahu,multiple,2045,0.0,0.0,0.0
IC_Schofield,Oahu,multiple,2020,9.36443073762,196278.468261,5615.49763504
IC_Schofield,Oahu,multiple,2025,76.2824955059,1598881.1058,44174.7767489
IC_Schofield,Oahu,multiple,2030,73.9547529848,1550091.62256,41285.7002856
IC_Schofield,Oahu,multiple,2035,141.947256527,2975214.49681,69517.8264715
IC_Schofield,Oahu,multiple,2040,40.859266967,856410.235628,21087.4880296
IC_Schofield,Oahu,multiple,2045,16.3542816758,342785.743925,0.0
Kahe_1,Oahu,multiple,2020,369.612994488,118276.158236,204959.872454
Kahe_2,Oahu,multiple,2020,434.690724749,139101.03192,233510.247347
Kahe_3,Oahu,multiple,2020,598.450690956,191504.221106,309648.99304
Kahe_4,Oahu,multiple,2020,547.217499935,175109.599979,292836.100777
Kahe_5,Oahu,multiple,2020,981.622253323,314119.121063,508444.068373
Kahe_5,Oahu,multiple,2025,1044.9219376,334375.020031,540236.835338
Kahe_5,Oahu,multiple,2030,885.076909207,283224.610946,462799.098977
Kahe_5,Oahu,multiple,2035,1040.94309678,333101.790969,538371.647333
Kahe_5,Oahu,multiple,2040,671.307438019,214818.380166,368824.729117
Kahe_6,Oahu,multiple,2020,647.45411913,207185.318122,350281.014621
Kahe_6,Oahu,multiple,2025,888.647606852,284367.234193,479911.85601
Kahe_6,Oahu,multiple,2030,843.626676329,269960.536425,457970.656609
Kahe_6,Oahu,multiple,2035,927.812162633,296899.892042,500495.95432
Kahe_6,Oahu,multiple,2040,511.757595791,163762.430653,296686.037549
Kalaeloa_CC1,Oahu,multiple,2020,788.939999449,4733639.9967,359451.107876
Kalaeloa_CC1,Oahu,multiple,2025,788.526897633,4731161.3858,359319.104776
Kalaeloa_CC1,Oahu,multiple,2030,652.675157246,3916050.94348,307782.553946
Kalaeloa_CC1,Oahu,multiple,2035,721.752036533,4330512.2192,332008.896761
Kalaeloa_CC1,Oahu,multiple,2040,352.613885792,2115683.31475,176769.225178
Kalaeloa_CC1,Oahu,multiple,2045,0.0,0.0,0.0
Kalaeloa_CC2,Oahu,multiple,2020,0.0,0.0,0.0
Kalaeloa_CC2,Oahu,multiple,2025,788.30619801,4729837.18806,359249.544066
Kalaeloa_CC2,Oahu,multiple,2030,705.314974854,4231889.84913,328195.099947
Kalaeloa_CC2,Oahu,multiple,2035,684.685925448,4108115.55269,317397.174308
Kalaeloa_CC2,Oahu,multiple,2040,352.37155531,2114229.33186,175268.586863
Kalaeloa_CC2,Oahu,multiple,2045,0.0,0.0,0.0
Kalaeloa_CC3,Oahu,multiple,2020,0.0,0.0,36.49688324
Kalaeloa_CC3,Oahu,multiple,2025,98.5037266265,591022.359759,45270.4262331
Kalaeloa_CC3,Oahu,multiple,2030,91.2561718648,547537.031189,41941.6875685
Kalaeloa_CC3,Oahu,multiple,2035,137.158805188,822952.831127,63011.4171375
Kalaeloa_CC3,Oahu,multiple,2040,55.9248936379,335549.361827,25702.533209
Kalaeloa_CC3,Oahu,multiple,2045,0.0,0.0,0.0
Nuclear,Oahu,Uranium,2020,0.0,0.0,0.0
Nuclear,Oahu,Uranium,2025,0.0,0.0,0.0
Nuclear,Oahu,Uranium,2030,0.0,0.0,0.0
Nuclear,Oahu,Uranium,2035,0.0,0.0,0.0
Nuclear,Oahu,Uranium,2040,126.222277538,492266.8824,0.0
Nuclear,Oahu,Uranium,2045,4006.66892521,15626008.8083,0.0
OffshoreWind,Oahu,WND,2020,0.0,0.0,0.0
OffshoreWind,Oahu,WND,2025,0.0,0.0,0.0
OffshoreWind,Oahu,WND,2030,0.0,0.0,0.0
OffshoreWind,Oahu,WND,2035,0.0,0.0,0.0
OffshoreWind,Oahu,WND,2040,0.0,0.0,0.0
OffshoreWind,Oahu,WND,2045,0.0,0.0,0.0
OnshoreWind,Oahu,WND,2020,306.154858215,0.0,0.0
OnshoreWind,Oahu,WND,2025,306.154858215,0.0,0.0
OnshoreWind,Oahu,WND,2030,302.476452196,0.0,0.0
OnshoreWind,Oahu,WND,2035,306.154858215,0.0,0.0
OnshoreWind,Oahu,WND,2040,1439.8551415,0.0,0.0
OnshoreWind,Oahu,WND,2045,1475.15667027,0.0,0.0
SlopedDistPV,Oahu,SUN,2020,471.036937044,0.0,0.0
SlopedDistPV,Oahu,SUN,2025,471.036937044,0.0,0.0
SlopedDistPV,Oahu,SUN,2030,469.842251528,0.0,0.0
SlopedDistPV,Oahu,SUN,2035,471.036937044,0.0,0.0
SlopedDistPV,Oahu,SUN,2040,431.408405221,0.0,0.0
SlopedDistPV,Oahu,SUN,2045,463.564688783,0.0,0.0
Waiau_10,Oahu,multiple,2020,6.1316822035,21799.338988,5438.38121654
Waiau_10,Oahu,multiple,2025,103.912690821,369430.100448,83169.5319445
Waiau_10,Oahu,multiple,2030,142.719913022,507397.425543,109040.844084
Waiau_10,Oahu,multiple,2035,223.73419281,795419.160746,152920.436061
Waiau_10,Oahu,multiple,2040,84.5071944617,300439.735436,63333.5470263
Waiau_10,Oahu,multiple,2045,2.40012839338,8532.92958206,0.0
Waiau_6,Oahu,multiple,2020,36.1657623204,11573.0439425,27259.9962377
Waiau_7,Oahu,multiple,2020,191.766165553,61365.1729768,119289.729902
Waiau_8,Oahu,multiple,2020,345.476380432,110552.441738,194088.359945
Waiau_9,Oahu,multiple,2020,5.42764505794,18311.8405883,5524.25629068
Waiau_9,Oahu,multiple,2025,64.1367279145,216385.103464,58807.6510269
Waiau_9,Oahu,multiple,2030,115.824416024,390769.517871,98973.4136871
Waiau_9,Oahu,multiple,2035,196.380455405,662550.250735,140634.111144
Waiau_9,Oahu,multiple,2040,69.5464198252,234636.373553,58929.9680753
Waiau_9,Oahu,multiple,2045,0.0,0.0,0.0
